,discourse_id,discourse_text
142,162b862f7128,"Now if you actualy like doing greek and latin roots in your english class you may not need this new technology, However you may not like another class like math classes"
143,7f55d719a273,If we start doing eveything on computers like all of our lessons for example we will probably need this to keep us from not falling asleep during the class.
144,5a3369aa974c,"If we do end up adopting this new software into our computers it could make us have more fun lessons and make the classes end faster, well do to preception"
145,7da6d74a7627,If the technology could be used with just a webcam then you could just look at your students face and see if they are bored or off task and make the lesson more enjoyable.
146,7da6d74a7627,We could just look at the precentages of the kids facial expressions like how they found out how the Mona Lisa's smile was mostly happy.
147,5431a13b4893,In conclution we could make our childrens classroom experiences more enjoyable.
148,5431a13b4893,Even if it is a little creepy to have a software that watches you for your whole classroom experience.
149,5431a13b4893,But it mostlikely is worth it to make shcool more enjoyable for the kids in them.
150,15f46d6913df,Do you really thing a land form could make a face ?
151,15f46d6913df,To me that seems something is very unlikely.
152,15f46d6913df,A planet that we do not look alike can make a face as a organism on earth?
153,18e84569101a,The photo isn't clearly shown as a face it just looks like a planets land form
154,a348497d43c2,It may aslo be a feture that is only unique to this palnet like the moon has thousands of craders.
155,a348497d43c2,I just feel as if Earth has all the water and green grass on it mayb Mars has these land forms instead.
156,a348497d43c2,Also it might be like how people gaze at the stars or the clouds to see if they make an object or a human face.
157,a348497d43c2,"If you look closley you can see that the

""face"" has ridges or canyon."
158,a348497d43c2,So maybe the ridegs/canyons made the land form that way
159,5983efd986b0,NASA on the other hand and says there is likelyness of a human face.
160,5983efd986b0,They also believe it is an alien artifac
161,9373ad480e79,"According to the picture they say because of the shadows it portraies eyes, nose and mouth."
162,9373ad480e79,They say that in the years that they took the picture it has developed more and more over the spands of years.
163,f1f8daa23ba7,"In conclusion the ""face'' to me is still just a land form."
164,d64021d415d7,Just because it looks as if it is something could not just be made out of a human face.
165,d64021d415d7,If they had more evidence then it would be believeable but until then my opnion is still that it is a land form.
166,218bfd96197d,Being in a car is how we transport ourselves to and from places.
167,218bfd96197d,Now what would you do if you had to give up your car.
168,218bfd96197d,"Yes, some people didnt mind giving up their cars but not everyone would be ok with this."
169,218bfd96197d,We have gotten so used to driving cars that i don't know what some people would do if they had to give up their means of transportation.
170,218bfd96197d,"Its also another factored that what if someone had to drive a long ways, it would take them even longer to get where they're going."
171,218bfd96197d,Its a very serious topic when you think of how much time one person spends in a car.
172,599e5e16e9ed,Well Paris has enforced a driving ban to help clear the air of pollution.
173,599e5e16e9ed,"""On mondays motorists with even-numbered license plates were ordered to leave their cars at home or suffer a 22-euro fine ($31)."
174,599e5e16e9ed,"The same would apply to odd-numbered plates the following day."""
175,599e5e16e9ed,"Many people, in Paris, were fined for driving on the wrong day."
176,599e5e16e9ed,"Paris wanted to do something about the smog that was surrounding their beautiful city, so they figured if there wasnt as many cars polluting the air then the smog would go away."
177,a398be97f2b7,It actually helped having cars stop driving on certain days because the smog actually cleared.
178,38a6679de2ed,"""Recent studies suggest that Americans are buying fewer cars, driving less, and getting fewer licenses as each year goes by."""
179,38a6679de2ed,American has always had a thing for cars but lately that seems to be a false statement.
180,f1cc93a81a32,"In the more populated citys, people are using more bikes and less cars."
181,f1cc93a81a32,Its easier to get around a city where there are thousands of people on the streets alone.
182,1e8d962ccf47,Internet maybe a huge reason why theres less dringing because it feels like your more connected with your friends and family without actually having to go anywhere.
183,1e8d962ccf47,The need for cars in the U.S. has gone down dramadically.
184,417f54b08a30,Ever been to a place where there are no cars aloud.
185,417f54b08a30,"Well in Vauban, Germany there is a place where if you want to go there you have to give up your car."
186,417f54b08a30,"""Street parking, driveways and home garages are generally forbidden is this experimental new district on the outskirts of Freiburg."""
187,417f54b08a30,People are happier without the stress of a car says Heidrun Walter.
188,dc6acebcd4c0,This is a place for clean air and no pollution from the car fumes.
189,dc6acebcd4c0,"As of right now, this experiment seems to be running quite nicely."
190,6d9d88dcdb54,"In all actuality, how many people dont realize how long they spend of their life in a car?"
191,6d9d88dcdb54,"If one day all cars in the world were banned, how would everyone recate?"
192,6d9d88dcdb54,"Some people may want to give up their cars, some people may not want to give up their cars"
193,d4e5221d31d2,There are many sides to people giving up their cars.
194,d4e5221d31d2,Some people are truly happy and some are not.
195,d4e5221d31d2,"It may not be that bad, i mean how did people manige before cars were even invented"
196,40556d737dae,"In one acrtical, it say there is a place where no cars are aloud but it also says that that place is an experimental project."
197,40556d737dae,In the end cars are just no as popular as they used to be.
198,40556d737dae,"is that a good or bad thing, you decide."
199,268da7edc231,President Obama has done nothing to improve our society.
200,268da7edc231,"If anything, he has created the worst society this world has ever seen."
201,2afcaec42c9c,"Limiting our usage of any type of motorized vehicle, would not only decrease air pollution but it would also help with adults or children that may not exercise enough."
202,af569f0ddf09,"Also when riding in or driving a motorized vehicle, your could get into an accident."
203,af569f0ddf09,"Getting into an accident in a vehicle could have much more fatal result than you walking, jogging, or even riding a bicycle."
204,917cc7fc5ca4,"Although walking, jogging, or riding a bicycle isnt must safer than riding in a vehicle."
205,4e718381101b,"You could be walking along when a stranger may walk up out of nowhere, beat you up, and could hurt you very badly."
206,4e718381101b,They may also take your wallet/purse.
207,4e718381101b,"Depending on who the person is, you could end up with a black eye, cut or busted lip/eye, or anything miner; while if the wrong person gets ahold of you, you could end up in the hospital needing surgery, transplant of some sort, or could even loose your life."
208,a2a95e4cd114,"Also, owning a car could could put someone in debt."
209,0adaf1d049b4,Falling behind on payments could be devastating to you and your family.
210,0adaf1d049b4,"When the car company comes to reposses your vehicle, you could end up having to walk, jog, or even ride a bike."
211,826b1039775a,So whether you like it or not everything has consequences.
212,9c59442be6db,"So, in the article ""Making Mona Lisa Smile,"" the author describes how a new technology called the Facial Action Coding System enables computers to indentify human emotions."
213,3f45cda4e0b0,After reading the article I really could'nt decide.
214,3f45cda4e0b0,When reading about the FACS the first thing that came to my mind was to use this technology on the faces of celeberties.
215,6ba8f4c85956,Well it's because it would be fun to do so.
216,6ba8f4c85956,In my opinion that's what it's most useful for in classrooms.
217,8a0d92309806,Sure the teacher could use this technology to teach students about how advanced the humans have become but..
218,e890c3ba9d81,Imagine being a teacher and then one day you introduce the FACS to your students.
219,e890c3ba9d81,What do you think the first thing they do would be?
220,e890c3ba9d81,I think the first thing they would do is take selfies and let the FACS analyze thier face.
221,e890c3ba9d81,Then they laugh at the results.
222,b9be259b07fa,See they are doing it for fun.
223,9732378cc532,This reminds me of disecting frogs in biology.
224,9732378cc532,"Some students think it's useful for your education while some other students think it's a waste of time, a waste of life for the frogs and that disecting them in the first place is already digusting."
225,9732378cc532,But do they do this for fun.
226,9732378cc532,NO they don't.
227,9732378cc532,They do it to learn about the oragns of the frogs and the purpose of each organ.
228,9732378cc532,But is disecting frogs valuable?
229,9732378cc532,Yes in my opinion.
230,7d71dae9cdbf,"So, no I don't think it's classroom valuable to use FACS."
231,b2dc14b0cafc,But that dosen't mean that you should not let them try it.
232,19b8004b9213,Here's what the teachers should do.
233,19b8004b9213,They show the students a picture of someones face.
234,19b8004b9213,Lets just say for example Mona Lisa.
235,19b8004b9213,The students will stare at the picture for about a minute carefully looking at every part of Mona Lisa's face.
236,19b8004b9213,"Then the students will decide Mona Lisa's emotion by rating her happiness, sadness, anger, digust or any other kind of emotions."
237,19b8004b9213,Then after that the teacher uses the FACS on Mona Lisa's face to see if the results for Mona Lisa's emotions from the technology is the same as the results from the students.
238,c154a240940d,Human vs Technology there you go.
239,4a7d11406893,"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face."
240,4a7d11406893,Suprising finding were that (1) the noise added to test face image had profound effect on the facail expression and (2) in most every istance the new expression was meaningful.
241,4a7d11406893,All 44 major muscles in the mode must move like human muslces.
242,4a7d11406893,"Movemment of one or more mucles is called an ""action unit"" Then Dr. Pual Eckam, creator of (FACS) Ekman has classified six basic emotions- happeniess, suprise, anger, disgust, feat and sadness."
243,4a7d11406893,"In the text it states,""The soft wear is the latest innovatiobn from Prof. Thomas Huang, of the Beckman Institiute for Advance Science at the University of

Illinois."""
244,4a7d11406893,Dr. Huag and colleague are experts at developing better ways fo humans and computers to communicate.
245,4a7d11406893,"The faical expressions for each emotion are univeral, observers Dr. Huang, even thought individuals often show varying degrees of expression (like smiling broadly)."
246,4a7d11406893,"Using video imagery, the new emotion-recqizing softwear facture these movements."
247,4a7d11406893,"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face."
248,4a7d11406893,The process begins whwne the computer constructs a 3-D comupter Model.
249,6d6e1d40b9b1,"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face."
250,6d6e1d40b9b1,Facial expression not only expresses emtions but also even help reproduce them.
251,6d6e1d40b9b1,The thought of making faces could reveal so much about the science of emotions.
252,bbd2ffd5524f,Have you ever ever been required to do a summer project that your not intreasted in?
253,bbd2ffd5524f,Certain schools in America require students to complete summer projects to ensure they are still learning over break.
254,bbd2ffd5524f,Students are often assined teacher designed projects.
255,bbd2ffd5524f,While most students complete these over summer projects many students don't due to lack of intrest in the assined topic.
256,d149f0653fd1,To improve student input schools should move towards student designed projects so students will be more intrested and and involved in the project.
257,d9f3089308c7,"While a summer project is not something most students would like to do over there break, teachers could allow there students to choose a topic or unit to base there project on."
258,199aea4ae355,Students can use this to there advantage and choose a topic they were intreasted.
259,199aea4ae355,Students could learn and still enjoy working on the project.
260,199aea4ae355,Students also have an easier time working on topics that they have knowledge on allowing them to complete there work easily.
261,199aea4ae355,Students can take advantage of being able to design there own project and choose a topic or unit that they struggled on through out the year.
262,199aea4ae355,Working on these weak points can strengthen your skills for next school year.
263,199aea4ae355,Students can go back and look at past notes and worksheets helping improve there skills in that topic.
264,6a1cca1e1142,"Students being able to design there projects could allow the student to create something they enjoy doing over the summer with friends and family, rather then students thinking of it as another teacher assined project that is boring"
265,f4416adbb49e,Instead they can create something that they think of as fun but still educates them.
266,f4416adbb49e,They could also use this project to study or learn upcoming cirriculum for next year.
267,f4416adbb49e,This would allow the student to get a head start on future units and topics.
268,7a19c3831933,"
Overall schools that require summer break projects should move towards student designed projects over teacher designed ones."
269,7a19c3831933,When students have the ability to choose from certain topics and units they can decide what is best for them.
270,7a19c3831933,Using the project to work on material that they were intrested in through out the year and want to further research and learn about or use the oppurtunity to study material that the student had trouble with over the school year so that they can be caught up for next year.
271,7a19c3831933,Furthermore students can create projects that will help them with future cirriculum for next year.
272,7a19c3831933,"In conclusion schools should use student designed projects because it allows the student to choose how they want to utilize the time for either further studying a topic, going back and reviewing areas they had trouble in or learning future topics for next school year."
273,8ce8856c5e66,"In The article ""Making The Mona Lisa Smile"" by Nick D'Alto how the new technology called the Facial Action Coding System enables computers to identify human emotions"
274,5fabd9b3a221,this new technology is valuable.
275,d1c5f0d13151,The Mona lisa demonstration really intended to bring a smile to your face this while just imagine how a computer knows when you're happy or sad thats crazy.
276,d1c5f0d13151,"For example, if you smile as soon as a web ad appears on the screen another ad will follow."
277,d1c5f0d13151,Lets say that you frown the next ad will be different from the one you smiled on.
278,d1c5f0d13151,Another thing a classroom computer can know when students are becoming to be confused or bored.
279,d1c5f0d13151,How the start of the porcess is when the computer contracts a 3-D computer model of the face all of the 44 major muscles on the model must have move like human muscles.
280,d1c5f0d13151,"Eckamn has classified six emotions for example anger, surprise, fear, sadness and happiness."
281,d1c5f0d13151,Movement for more than one muscle is called a unit.
282,d1c5f0d13151,In fact us human perfrom this impressive called calculation we use it everyday.
283,d1c5f0d13151,"For example, you could tell how your friend is feeling by looking at his or her face."
284,d1c5f0d13151,most us would have trouble describing each others facial trit that makes us happy or worried.
285,d1c5f0d13151,Yet Dr. Huang observes artist like Leonardo Da Vinci he studied human anatomy to help them paint facial muscles to have enough convey specific type of emoitions.
286,da54c636c445,However the new technology is valuable by telling you how what are your human emotions.
287,da54c636c445,For example a classroom computer can show when a student is bored or getting confused.
288,da54c636c445,Also it can classified six different motions
289,73c183f965dd,Therefore this New technology is valuable for the students in classrooms.
290,f6c1cbd86aff,Almost every student knows the dread of going back to school.
291,f6c1cbd86aff,The easy and laid back summer fads out and suddenly it's back to the old grind.
292,f6c1cbd86aff,"The sleeping in till noon goes back to waking up at six, bathing suits get put back in the closet, and the sun tans fade."
293,f6c1cbd86aff,"Yet, almost every student can relate to the one thing that always keeps them tied to school during the summer, the dreaded summer assignment."
294,f6c1cbd86aff,"It could be a book report or a math packet, either way it burns in the back of their minds while they cannonball into pools."
295,f6c1cbd86aff,It seeps into thoughts while they try to fall asleep.
296,fe37cadc0c6b,"If teachers gave students the opportunity to discover their own work, and maybe even a passion, students work would be of a higher quality and it might actually have them excited to go back to school."
297,5ac75720d785,"When someone decidedly does not like something, you can't force them to like it, no matter how hard you try."
298,5ac75720d785,That is what it can feel like for students when teachers assign work that is not interesting to them over and over again.
299,5ac75720d785,"There is no way for every part of classwork to interest students, but teachers could make an effort to make the one assignment that no one wants to do over the summer, interesting."
300,315a20da8ef8,"When students have the ability to decide what they will study in a project, they are more excited and more willing to get the work done."
301,5d1e0a284fca,Having students choose their project will save both the teachers and students from the painful force feeding of information.
302,3726d4fd11d5,"Now, this assignment can not be a free for all, that would not be completely fair."
303,3726d4fd11d5,There may be some students who go above and beyond while some may do the bare minimum and call it done.
304,a5b52f9c901e,To avoid this scenario teachers could implement some sort of rubric or guidelines for what the student chosen project would have to include and how they will go about grading it.
305,a5b52f9c901e,This way the playing field is level and everyone has the opportunity to succeed.
306,e3354441c900,A common issue faced with summer work is the student procrastination.
307,e3354441c900,Obviously no one wants to do schoolwork on their vacation so it is common practice to put it off for as long as possible and then rush the night before.
308,e3354441c900,Even if there was three months to do it!
309,a25ac5272d77,"With a student chosen project, students may feel more inclined to do their work because working on something that interests them won't feel like such a chore."
310,66e5faf2eabb,"The end of summer is not fun for anyone involved, students and teachers alike."
311,66e5faf2eabb,Why would we want to dampen the vacation with unexciting work looming over students heads the whole time.
312,66e5faf2eabb,Students should feel excited to go back to school and be they should have something to look foward to sharing with their classes.
313,66e5faf2eabb,It is common knowledge that doing work that is uninteresting to you lowers your performance and makes the work that much more of a chore.
314,66e5faf2eabb,With student selected summer assignments we can prevent that and create a new wave of excitement about returning to school.
315,5f20ed34ee51,"In the article ""The Challenge of Exploring Venus"", it tals about how scientest are working on new technology to overcome the chalanges of Venus and its complications."
316,7ff80a11c483,In the begining of the artical it talks abou how Venus isthe second closest planet from the sun and how it is one of the two most similar planets to Earth.
317,7ff80a11c483,Since it has similarities to Earths' size and density scientest have sentunmanded spacecrafts to Venus to investigate.
318,7ff80a11c483,Unfortunatlly no space craft has survived acording to the last two sentances of paragraph two.
319,7ff80a11c483,In the beginning of paragraph three it states how a thick atmosphere of almost 97 percent of carbon dioxide engulfs Venus.
320,7ff80a11c483,The clouds on this planet are also highly currosive with sulfuric acid in them.
321,7ff80a11c483,The planets surface averages about 800 degrees Fahrenheit and the atmospheric presure is 90 times greater than on Earth.
322,7ff80a11c483,This concludes that Venus has the hotest surface tempreature of any planet in our solar system.
323,7ff80a11c483,"Venus also has obsticals like erupting valcanos, earthquakes, and frequent lightning stikes on the planets surface."
324,6460c3c57613,With all these complications though scientest still are curious about this dangerous planet.
325,0859f09e1301,In the second sentance of the fourth paragraph it explains that astronomers are curious because it may have been the most Earth like planet in our solar system.
